File name	md5	FTP url	Assay	Description	Instrument	Cell line	Cell type	Biosample	Archive	Accession type	Accession	Archive url	Cell line growing conditions for this assay	Cell line passage number for this assay	Disease status	Sex	Assay description
HPSI0114i-lexy_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	9f0e82b7765c5cb4073cc8d39c4e5b3e	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267030/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-lexy_1	iPSC	SAMEA2536416	ENA	ANALYSIS_ID	ERZ267030	http://www.ebi.ac.uk/ena/data/view/ERZ267030	Feeder-free	29	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-lexy_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	551c1d143f39b8865ba1969098446e39	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266976/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-lexy_2	iPSC	SAMEA2536404	ENA	ANALYSIS_ID	ERZ266976	http://www.ebi.ac.uk/ena/data/view/ERZ266976	Feeder-free	25	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-oevr_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	78acfdda880afbd6c50baaee6f312cc7	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267041/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-oevr_3	iPSC	SAMEA2570435	ENA	ANALYSIS_ID	ERZ267041	http://www.ebi.ac.uk/ena/data/view/ERZ267041	Feeder-free	34	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-rozh_4.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	88f1e00e4bdf5589302dcd51ac1304d7	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266986/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-rozh_4	iPSC	SAMEA2555017	ENA	ANALYSIS_ID	ERZ266986	http://www.ebi.ac.uk/ena/data/view/ERZ266986	Feeder-free	27	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-rozh_5.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	e7c76cd5cc2709162252a7f71d9e1baf	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267060/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-rozh_5	iPSC	SAMEA2555012	ENA	ANALYSIS_ID	ERZ267060	http://www.ebi.ac.uk/ena/data/view/ERZ267060	Feeder-free	30	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-vabj_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	3e87ba14968e3e753e230ce3ff06d454	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267022/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-vabj_3	iPSC	SAMEA2595426	ENA	ANALYSIS_ID	ERZ267022	http://www.ebi.ac.uk/ena/data/view/ERZ267022	Feeder-free	24	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-vass_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	dbf08cf697ce1e65d524e498beb31b5f	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266997/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-vass_1	iPSC	SAMEA2627141	ENA	ANALYSIS_ID	ERZ266997	http://www.ebi.ac.uk/ena/data/view/ERZ266997	Feeder-free	26	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-zapk_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	51823d8f5de147dc011802fcfea32e29	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376098/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-zapk_2	iPSC	SAMEA2570426	ENA	ANALYSIS_ID	ERZ376098	http://www.ebi.ac.uk/ena/data/view/ERZ376098	Feeder-free	22	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-zapk_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20160125.tsv	aa17f02da024af801f6f4efd6b48aab2	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267031/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-zapk_3	iPSC	SAMEA2570432	ENA	ANALYSIS_ID	ERZ267031	http://www.ebi.ac.uk/ena/data/view/ERZ267031	Feeder-free	22	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-zoxy_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	bba9cac6074fbaf7c73fefc828e2ae0b	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267046/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-zoxy_3	iPSC	SAMEA2536413	ENA	ANALYSIS_ID	ERZ267046	http://www.ebi.ac.uk/ena/data/view/ERZ267046	Feeder-free	38	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-aion_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	40ce7329b7bfb7f0fd980bb95112a467	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376154/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-aion_2	iPSC	SAMEA3754202	ENA	ANALYSIS_ID	ERZ376154	http://www.ebi.ac.uk/ena/data/view/ERZ376154	Feeder-free	30	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-aion_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	5452687f5ebf664913eec800eb245e73	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376036/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-aion_3	iPSC	SAMEA3754203	ENA	ANALYSIS_ID	ERZ376036	http://www.ebi.ac.uk/ena/data/view/ERZ376036	Feeder-free	25	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-aoxv_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20170703.tsv	0405cd30e92a6999fd5cf896deca7b13	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487581/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-aoxv_1	iPSC	SAMEA4451655	ENA	ANALYSIS_ID	ERZ487581	http://www.ebi.ac.uk/ena/data/view/ERZ487581	Feeder-free	8	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-aoxv_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20170703.tsv	0215a49a75c8ac3f14129a4a662c5c07	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487626/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-aoxv_3	iPSC	SAMEA4451657	ENA	ANALYSIS_ID	ERZ487626	http://www.ebi.ac.uk/ena/data/view/ERZ487626	Feeder-free	7	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-bimq_4.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20180131.tsv	8166e75c54a36dcde24673f2ae84eeb0	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487587/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-bimq_4	iPSC	SAMEA104011280	ENA	ANALYSIS_ID	ERZ487587	http://www.ebi.ac.uk/ena/data/view/ERZ487587	Feeder-free	9	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-bimq_5.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20180131.tsv	caa7926a49ec4c4561b7efcf4f2b1fe1	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487571/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-bimq_5	iPSC	SAMEA104011279	ENA	ANALYSIS_ID	ERZ487571	http://www.ebi.ac.uk/ena/data/view/ERZ487571	Feeder-free	9	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-boqx_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20180131.tsv	d6013c4846f5baa64ddbf04a16c3cede	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487612/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-boqx_2	iPSC	SAMEA104130216	ENA	ANALYSIS_ID	ERZ487612	http://www.ebi.ac.uk/ena/data/view/ERZ487612	Feeder-free	12	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-gifk_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	7d3904f6adaee1b075ae9dce049a6ad3	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376121/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-gifk_1	iPSC	SAMEA3753601	ENA	ANALYSIS_ID	ERZ376121	http://www.ebi.ac.uk/ena/data/view/ERZ376121	Feeder-free	20	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-gost_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20170703.tsv	41db693c6ae2c79e7a9a7450510cc4c4	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487638/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-gost_2	iPSC	SAMEA4454941	ENA	ANALYSIS_ID	ERZ487638	http://www.ebi.ac.uk/ena/data/view/ERZ487638	Feeder-free	9	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-hecn_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	045590229699265f6af39c8a028f15dd	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376128/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-hecn_3	iPSC	SAMEA3853173	ENA	ANALYSIS_ID	ERZ376128	http://www.ebi.ac.uk/ena/data/view/ERZ376128	Feeder-free	15	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-hecn_6.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	88440609befe86b06ca3ce3e908cd94e	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376099/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-hecn_6	iPSC	SAMEA3853180	ENA	ANALYSIS_ID	ERZ376099	http://www.ebi.ac.uk/ena/data/view/ERZ376099	Feeder-free	8	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-iiyk_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	9078a28a27006e8162f55b0f9fd50061	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376095/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-iiyk_2	iPSC	SAMEA4303610	ENA	ANALYSIS_ID	ERZ376095	http://www.ebi.ac.uk/ena/data/view/ERZ376095	Feeder-free	8	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-iiyk_4.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20161026.tsv	631e7cb5c45cf9e69ed3627bf3bb36dd	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ376/ERZ376081/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-iiyk_4	iPSC	SAMEA4303613	ENA	ANALYSIS_ID	ERZ376081	http://www.ebi.ac.uk/ena/data/view/ERZ376081	Feeder-free	8	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0115i-iuad_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20180131.tsv	66cc9aaa9f7a15ed1650a86e846dd93c	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ487/ERZ487618/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0115i-iuad_2	iPSC	SAMEA103886060	ENA	ANALYSIS_ID	ERZ487618	http://www.ebi.ac.uk/ena/data/view/ERZ487618	Feeder-free	13	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
